priority,dept,kind,published,slug,title,byline,url
"2","heart-care","journey","2025-03-31","jamess-heart-failure-reversal-is-one-for-the-record-books","James's heart-failure reversal is one for the record books","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/03/31/jamess-heart-failure-reversal-is-one-for-the-record-books/70325494007/"
"2","heart-care","journey","2023-10-10","curing-a-racing-heart-how-phyllis-beat-arrhythmia","Curing a racing heart: How Phyllis beat arrhythmia","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/10/10/curing-a-racing-heart-how-phyllis-beat-arrhythmia/71132185007/"
"2","heart-care","article","2023-03-17","cardiac-arrest-heart-attack-or-heart-failure-whats-the-difference","Cardiac arrest, heart attack, or heart failure? What's the difference?","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/03/17/cardiac-arrest-heart-attack-or-heart-failure-whats-the-difference/70020895007/"
"2","heart-care","journey","2023-03-01","a-new-heart-gave-jessica-another-shot","A new heart gave Jessica another shot","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/03/01/a-new-heart-gave-jessica-another-shot/69960101007/"
"2","heart-care","journey","2023-02-21","a-new-heart-was-josephs-winning-save","A new heart was Joseph's winning save","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/02/21/a-new-heart-was-josephs-winning-save/69927140007/"
"2","heart-care","article","2022-04-28","no-1-reason-limb-loss-and-how-prevent","The No. 1 reason for limb loss and how to prevent it","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2022/04/28/no-1-reason-limb-loss-and-how-prevent/9575634002/"
"2","heart-care","journey","2020-09-28","saving-jessica-bridge-new-heart","Saving Jessica with a bridge to a new heart","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2020/09/28/saving-jessica-bridge-new-heart/3562987001/"
"2","heart-care","article","2020-08-19","covid-19-and-heart-health-big-impact-100-avoidable","COVID-19 and heart health: The big impact that is 100% avoidable","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2020/08/19/covid-19-and-heart-health-big-impact-100-avoidable/5607542002/"
"2","heart-care","article","2020-02-09","heart-failure-tips-optimize-treatment-success","Heart failure tips to optimize treatment success","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2020/02/09/heart-failure-tips-optimize-treatment-success/4709442002/"
"1","orthopedics-rehab","article","2023-10-17","advanced-treatment-options-for-children-born-with-craniofacial-anomali","Advanced treatment options for children born with craniofacial anomalies","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/10/17/advanced-treatment-options-for-children-born-with-craniofacial-anomalies/71214904007/"
"2","orthopedics-rehab","article","2022-09-28","kids-get-arthritis-too-know-the-signs","Kids get arthritis too. Know the signs.","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2022/09/28/kids-get-arthritis-too-know-the-signs/69525027007/"
"2","orthopedics-rehab","article","2021-10-01","why-pediatric-sports-injuries-rise-and-what-do-them","Why pediatric sports injuries are on the rise — and what to do about","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2021/10/01/why-pediatric-sports-injuries-rise-and-what-do-them/5947820001/"
"1","primary-care","article","2026-08-07","bloating-cramps-urgency-could-it-be-ibs","Bloating, cramps, urgency: Could it be IBS?","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2026/08/07/bloating-cramps-urgency-could-it-be-ibs/91213117007/"
"1","primary-care","journey","2025-12-03","a-fight-to-beat-pulmonary-fibrosis-pauls-incredible-comeback","A fight to beat pulmonary fibrosis — Paul's incredible comeback","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/12/03/a-fight-to-beat-pulmonary-fibrosis-pauls-incredible-comeback/87587544007/"
"1","primary-care","article","2025-11-28","flu-protection-isnt-about-doing-more-its-about-timing-it-right","Flu protection isn't about doing more. It's about timing it right.","Alice S. Teich, MD","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/11/28/flu-protection-isnt-about-doing-more-its-about-timing-it-right/87508219007/"
"1","primary-care","article","2025-02-25","dont-underestimate-shingles","Don't underestimate shingles","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/02/25/dont-underestimate-shingles/80255114007/"
"2","primary-care","article","2024-08-23","record-breaking-heat-waves-and-dehydration-9-ways-to-stay-hydrated","Record-breaking heat waves and dehydration — 9 ways to stay hydrated","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2024/08/23/record-breaking-heat-waves-and-dehydration-9-ways-to-stay-hydrated/74918016007/"
"1","primary-care","article","2024-06-27","teens-with-heavy-periods-how-much-is-too-much-and-when-to-seek-help","Teens with heavy periods — how much is too much and when to seek help","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2024/06/27/teens-with-heavy-periods-how-much-is-too-much-and-when-to-seek-help/74233795007/"
"2","primary-care","article","2023-12-12","adult-rsv-who-should-protect-themselves-with-the-new-vaccine","Adult RSV: Who should protect themselves with the new vaccine?","Gregory D. Weston, MD","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/12/12/adult-rsv-who-should-protect-themselves-with-the-new-vaccine/71895209007/"
"2","primary-care","article","2023-10-12","flu-proof-life-the-best-defense-this-season","Flu-proof life: The best defense this season","Vanessa Pratomo, MD","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/10/12/flu-proof-life-the-best-defense-this-season/71156278007/"
"2","primary-care","article","2023-10-02","breakthrough-sickle-cell-treatments-improve-this-invisible-illness-out","Breakthrough sickle cell treatments improve this invisible illness outlook","Kerry A. Morrone, MD","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/10/02/breakthrough-sickle-cell-treatments-improve-this-invisible-illness-outlook/71034099007/"
"2","primary-care","journey","2023-09-25","a-chance-encounter-saved-paul-with-a-living-liver-donor-1000-miles-awa","A chance encounter saved Paul with a living liver donor 1000 miles away","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/09/25/a-chance-encounter-saved-paul-with-a-living-liver-donor-1000-miles-away/70963436007/"
"2","primary-care","article","2023-08-31","keeping-up-with-the-latest-psoriasis-treatment-breakthroughs","Keeping up with the latest psoriasis treatment breakthroughs","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/08/31/keeping-up-with-the-latest-psoriasis-treatment-breakthroughs/70729997007/"
"2","primary-care","article","2023-06-14","dad-power-the-impact-of-fatherhood","Dad power: The impact of fatherhood","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/06/14/dad-power-the-impact-of-fatherhood/70321859007/"
"2","primary-care","journey","2023-04-28","this-4-month-old-needed-a-new-liver-fast-a-living-donor-saved-her-life","This 4-month-old needed a new liver fast. A living donor saved her life.","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/04/28/this-4-month-old-needed-a-new-liver-fast-a-living-donor-saved-her-life/70163622007/"
"2","primary-care","article","2022-09-29","my-child-fell-off-the-bed-and-hit-their-head-what-do-i-do","""My child fell off the bed and hit their head. What do I do?”","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2022/09/29/my-child-fell-off-the-bed-and-hit-their-head-what-do-i-do/69527644007/"
"2","primary-care","article","2022-08-04","rsv-on-the-rise-year-round-protecting-babies-and-toddlers-in-warmer-mo","RSV on the rise year-round: protecting babies and toddlers in warmer months","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2022/08/04/rsv-on-the-rise-year-round-protecting-babies-and-toddlers-in-warmer-months/65392138007/"
"2","primary-care","article","2022-08-01","what-to-know-about-dehydration-and-how-to-avoid-it","What to know about dehydration and how to avoid it","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2022/08/01/what-to-know-about-dehydration-and-how-to-avoid-it/65388665007/"
"2","primary-care","article","2022-06-16","tips-dads-even-bigger-heroes-their-kids","Tips for dads to be even bigger heroes to their kids","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2022/06/16/tips-dads-even-bigger-heroes-their-kids/7635425001/"
"2","primary-care","journey","2021-11-09","strangers-gift-how-living-organ-donor-saved-babys-life","A stranger's gift: How a living organ donor saved this baby's life","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2021/11/09/strangers-gift-how-living-organ-donor-saved-babys-life/6354242001/"
"2","primary-care","article","2020-07-01","hot-humid-weather-raises-risk-dehydration-heres-how-avoid","Hot humid weather raises risk of dehydration: Here's how to avoid it","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2020/07/01/hot-humid-weather-raises-risk-dehydration-heres-how-avoid/5358895002/"
"2","primary-care","article","2020-05-06","living-organ-donors-save-thousands-lives-each-year","Living organ donors save thousands of lives each year","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2020/05/06/living-organ-donors-save-thousands-lives-each-year/5177298002/"
"2","primary-care","article","2019-12-30","prevention-respiratory-syncytial-virus-rsv-best-way-keep-babies-safe-b","Prevention of respiratory syncytial virus (RSV) is the best way to","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2019/12/30/prevention-respiratory-syncytial-virus-rsv-best-way-keep-babies-safe-bronchiolitis/2774905001/"
"2","primary-care","article","2019-12-10","how-practice-toy-safety-holiday-season-and-beyond","Toy safety tips for holiday gifting: keeping it fun, minimizing the risk","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2019/12/10/how-practice-toy-safety-holiday-season-and-beyond/2586989001/"
"2","primary-care","article","2019-11-05","make-lunch-time-more-fun-these-simple-healthy-and-delicious-recipes","Make lunch time more fun with these simple, healthy and delicious","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2019/11/05/make-lunch-time-more-fun-these-simple-healthy-and-delicious-recipes/1878617001/"
"2","primary-care","article","2019-07-26","restoring-function-and-improving-quality-life-children-some-most-commo","Restoring function and improving quality of life for children with","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2019/07/26/restoring-function-and-improving-quality-life-children-some-most-common-birth-defects-craniofacial-d/1836779001/"
"2","primary-care","article","2019-07-12","hot-humid-weather-raises-risk-dehydration-heres-how-avoid","Hot humid weather raises risk of dehydration: Here's how to avoid it","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2019/07/12/hot-humid-weather-raises-risk-dehydration-heres-how-avoid/1717555001/"
"2","primary-care","article","2019-06-07","celebrate-fathers-day-one-these-tasty-and-healthy-dinner-ideas","Celebrate Father's Day with one of these tasty and healthy dinner","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2019/06/07/celebrate-fathers-day-one-these-tasty-and-healthy-dinner-ideas/1371150001/"
"1","sleep-medicine","article","2024-10-04","safe-sleep-practices-to-reduce-babies-sids-risk","Safe sleep practices to reduce babies' SIDS risk","Jillian B. Parekh, MD","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2024/10/04/safe-sleep-practices-to-reduce-babies-sids-risk/75515476007/"
"2","sleep-medicine","article","2023-10-03","no-mask-no-hose-just-sleep-the-innovative-alternative-for-sleep-apnea","No mask, no hose, just sleep: The innovative alternative for sleep apnea","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/10/03/no-mask-no-hose-just-sleep-the-innovative-alternative-for-sleep-apnea/71044808007/"
"2","sleep-medicine","article","2019-11-05","safe-sleep-practices-reduce-risk-sids-and-other-causes-sudden-unexpect","Safe sleep practices reduce the risk of SIDS and other causes of","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2019/11/05/safe-sleep-practices-reduce-risk-sids-and-other-causes-sudden-unexpected-infant-death/4113000002/"
"1","urology","article","2026-05-15","tired-of-urine-leaks-relief-may-start-with-your-pelvic-floor","Tired of urine leaks? Relief may start with your pelvic floor","Whitney L. Clearwater, MD, MPH","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2026/05/15/tired-of-urine-leaks-relief-may-start-with-your-pelvic-floor/90095476007/"
"2","urology","article","2025-09-26","understanding-bedwetting-expert-advice-for-effective-strategies","Understanding bedwetting — expert advice for effective strategies","Miriam Harel, MD","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/09/26/understanding-bedwetting-expert-advice-for-effective-strategies/86369067007/"
"2","urology","article","2023-08-04","hidden-causes-of-erectile-dysfunction-dispelling-ed-myths","Hidden causes of erectile dysfunction: Dispelling ED myths","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/08/04/hidden-causes-of-erectile-dysfunction-dispelling-ed-myths/70530405007/"
"1","urology","article","2023-05-31","slowing-the-progression-of-kidney-disease-in-children","Slowing the progression of kidney disease in children","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/05/31/slowing-the-progression-of-kidney-disease-in-children/70273607007/"
"2","urology","article","2022-09-27","hysterectomy-is-not-the-only-option-for-women-with-uterine-fibroids","Hysterectomy is not the only option for women with uterine fibroids","Jacob Cynamon","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2022/09/27/hysterectomy-is-not-the-only-option-for-women-with-uterine-fibroids/69522088007/"
"2","urology","article","2019-06-25","male-sexual-dysfunction-normal-part-aging-important-health-message-you","Male sexual dysfunction: A normal part of aging, or is it an important","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2019/06/25/male-sexual-dysfunction-normal-part-aging-important-health-message-your-body/1559451001/"
